parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,ceiling_leaf_timeout,ceiling_leaf_nodes,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,maxlpt_leaf_timeout,maxlpt_leaf_nodes,match_makespan,node_reduction_pct,speedup
machines,21,4,210004,8,21,2.0,0.018001556396484375,0,0,0.0,60.0,success,False,0,0.024001121520996094,0,0,0.0,60.0,success,False,0,True,,
machines,22,0,220000,8,22,2.0,0.03300356864929199,0,0,0.0,42.0,success,False,0,0.034005165100097656,0,0,0.0,42.0,success,False,0,True,,
machines,22,1,220001,8,22,2.0,0.02600383758544922,0,0,0.0,60.0,success,False,0,0.035003662109375,0,0,0.0,60.0,success,False,0,True,,
machines,22,2,220002,8,22,2.0,0.021001577377319336,0,0,0.0,48.0,success,False,0,0.02800273895263672,0,0,0.0,48.0,success,False,0,True,,
machines,22,3,220003,8,22,2.0,0.013001441955566406,0,0,0.0,30.0,success,False,0,0.019002676010131836,0,0,0.0,30.0,success,False,0,True,,
machines,22,4,220004,8,22,2.0,123.70563697814941,307001,204851,0.6672649274758062,32.0,success,False,2546,125.36695981025696,240053,149192,0.6214960862809463,32.0,success,False,2517,True,21.807095090895466,0.986748320014923
machines,23,0,230000,8,23,2.0,0.01699972152709961,0,0,0.0,20.0,success,False,0,0.020999670028686523,0,0,0.0,20.0,success,False,0,True,,
machines,23,1,230001,8,23,2.0,0.023002147674560547,0,0,0.0,51.0,success,False,0,0.03200340270996094,0,0,0.0,51.0,success,False,0,True,,
machines,23,2,230002,8,23,2.0,240.4717197418213,315087,216308,0.6865024580512684,39.0,success,False,3434,207.31544041633606,117030,53250,0.455011535503717,39.0,success,False,2403,True,62.85787734816098,1.1599315480742773
machines,23,3,230003,8,23,2.0,0.02000570297241211,0,0,0.0,39.0,success,False,0,0.035002946853637695,0,0,0.0,39.0,success,False,0,True,,
machines,23,4,230004,8,23,2.0,0.014002561569213867,0,0,0.0,40.0,success,False,0,0.02300095558166504,0,0,0.0,40.0,success,False,0,True,,
machines,24,0,240000,8,24,2.0,0.014001131057739258,0,0,0.0,22.0,success,False,0,0.025002479553222656,0,0,0.0,22.0,success,False,0,True,,
machines,24,1,240001,8,24,2.0,0.015001535415649414,0,0,0.0,34.0,success,False,0,0.023003101348876953,0,0,0.0,34.0,success,False,0,True,,
machines,24,2,240002,8,24,2.0,0.015001058578491211,0,0,0.0,30.0,success,False,0,0.022002220153808594,0,0,0.0,30.0,success,False,0,True,,
machines,24,3,240003,8,24,2.0,0.022001028060913086,0,0,0.0,33.0,success,False,0,0.03600478172302246,0,0,0.0,33.0,success,False,0,True,,
machines,24,4,240004,8,24,2.0,0.015000343322753906,0,0,0.0,32.0,success,False,0,0.026001691818237305,0,0,0.0,32.0,success,False,0,True,,
machines,25,0,250000,8,25,2.0,0.014998674392700195,0,0,0.0,30.0,success,False,0,0.02400040626525879,0,0,0.0,30.0,success,False,0,True,,
machines,25,1,250001,8,25,2.0,0.02500319480895996,0,0,0.0,48.0,success,False,0,0.06100654602050781,0,0,0.0,48.0,success,False,0,True,,
machines,25,2,250002,8,25,2.0,0.02200460433959961,0,0,0.0,38.0,success,False,0,0.026001691818237305,0,0,0.0,38.0,success,False,0,True,,
machines,25,3,250003,8,25,2.0,0.02300095558166504,0,0,0.0,26.0,success,False,0,0.026003360748291016,0,0,0.0,26.0,success,False,0,True,,
machines,25,4,250004,8,25,2.0,0.006000518798828125,0,0,0.0,20.0,success,False,0,0.016001462936401367,0,0,0.0,20.0,success,False,0,True,,
machines,26,0,260000,8,26,2.0,0.022002696990966797,0,0,0.0,36.0,success,False,0,0.0220029354095459,0,0,0.0,36.0,success,False,0,True,,
machines,26,1,260001,8,26,2.0,0.022002220153808594,0,0,0.0,40.0,success,False,0,0.026004791259765625,0,0,0.0,40.0,success,False,0,True,,
machines,26,2,260002,8,26,2.0,0.01799774169921875,0,0,0.0,28.0,success,False,0,0.02651071548461914,0,0,0.0,28.0,success,False,0,True,,
machines,26,3,260003,8,26,2.0,0.030004501342773438,0,0,0.0,30.0,success,False,0,0.03500199317932129,0,0,0.0,30.0,success,False,0,True,,
machines,26,4,260004,8,26,2.0,0.02000141143798828,0,0,0.0,40.0,success,False,0,0.02500295639038086,0,0,0.0,40.0,success,False,0,True,,
machines,27,0,270000,8,27,2.0,0.005999565124511719,0,0,0.0,20.0,success,False,0,0.01800084114074707,0,0,0.0,20.0,success,False,0,True,,
